ym,inTotal,inMale,inFemale,outTotal,outMale,outFemale
201801,1703,764,939,1359,615,744
201802,1264,569,695,1161,530,631
201803,2349,1084,1265,1931,921,1010
201804,1814,845,969,1628,749,879
201805,2474,1151,1323,2129,986,1143
201806,1861,843,1018,1657,763,894
201807,1962,940,1022,1822,847,975
201808,2096,972,1124,1836,850,986
201809,1859,856,1003,1571,721,850
201810,1528,709,819,1272,581,691
201811,1334,602,732,1133,491,642
201812,2002,947,1055,1621,711,910
201901,1929,849,1080,1662,733,929
201902,1651,760,891,1452,656,796
201903,1835,830,1005,1549,681,868
201904,1783,818,965,1736,807,929
201905,2256,1035,1221,1973,901,1072
201906,1648,739,909,1456,674,782
201907,2061,985,1076,2011,947,1064
201908,2027,943,1084,1853,839,1014
201909,2048,965,1083,1975,895,1080
201910,1458,646,812,1348,604,744
201911,1291,582,709,1140,498,642
201912,1440,665,775,1233,578,655
202001,1589,737,852,1354,614,740
202002,1700,789,911,1603,701,902
202003,1739,816,923,1615,767,848
202004,1549,732,817,1465,687,778
202005,1824,860,964,1670,732,938
202006,1696,808,888,1624,751,873
202007,1799,860,939,1764,841,923
202008,2002,950,1052,1907,883,1024
202009,2345,1160,1185,2090,956,1134
202010,1428,650,778,1341,599,742
202011,1475,703,772,1350,632,718
202012,1811,861,950,1545,695,850
202101,1682,812,870,1423,632,791
202102,1507,721,786,1443,677,766
202103,1894,888,1006,1845,829,1016
202104,2204,1061,1143,1917,898,1019
202105,1687,804,883,1507,712,795
202106,1447,701,746,1403,643,760
202107,1890,885,1005,1761,776,985
202108,2090,987,1103,2173,958,1215
202109,2480,1189,1291,2451,1143,1308
202110,1486,713,773,1596,723,873
202111,1462,703,759,1703,816,887
202112,1793,824,969,1883,829,1054
202201,1883,880,1003,2021,900,1121
202202,1347,648,699,1863,869,994
202203,1994,943,1051,2373,1137,1236
202204,1612,771,841,2840,1508,1332
202205,1646,789,857,1752,866,886
202206,1724,797,927,1512,700,812
202207,2060,982,1078,1826,862,964
202208,1972,890,1082,1772,778,994
