ym,inTotal,inMale,inFemale,outTotal,outMale,outFemale
201801,5961,2704,3257,5987,2660,3327
201802,4609,2110,2499,4460,2034,2426
201803,8580,3922,4658,8397,3878,4519
201804,5669,2583,3086,5795,2624,3171
201805,6803,3111,3692,7125,3220,3905
201806,5651,2522,3129,5691,2540,3151
201807,6678,2975,3703,6504,2930,3574
201808,6401,2931,3470,6425,2944,3481
201809,5901,2688,3213,5987,2704,3283
201810,4571,1994,2577,4576,1989,2587
201811,4616,1965,2651,4532,1978,2554
201812,6676,3018,3658,6512,2923,3589
201901,6771,3020,3751,6574,2927,3647
201902,5036,2309,2727,4985,2219,2766
201903,6707,3057,3650,6583,2997,3586
201904,6176,2796,3380,6030,2773,3257
201905,6123,2691,3432,6227,2775,3452
201906,5216,2329,2887,5222,2343,2879
201907,7008,3193,3815,7126,3290,3836
201908,6669,3112,3557,6476,3055,3421
201909,6731,3016,3715,6697,3016,3681
201910,5082,2251,2831,5075,2257,2818
201911,4755,2121,2634,4564,2084,2480
201912,4570,2073,2497,4581,2090,2491
202001,5074,2258,2816,5312,2371,2941
202002,6022,2795,3227,6020,2763,3257
202003,6624,3072,3552,6755,3103,3652
202004,5335,2458,2877,5192,2378,2814
202005,5288,2360,2928,5550,2461,3089
202006,5168,2393,2775,5162,2337,2825
202007,6468,2985,3483,6559,2984,3575
202008,6645,3148,3497,6719,3129,3590
202009,6923,3219,3704,7103,3292,3811
202010,4671,2153,2518,4792,2171,2621
202011,4853,2283,2570,5057,2321,2736
202012,5729,2539,3190,6024,2656,3368
202101,4980,2269,2711,5247,2369,2878
202102,4423,2059,2364,4566,2088,2478
202103,7085,3320,3765,7610,3490,4120
202104,5892,2802,3090,6198,2906,3292
202105,4742,2169,2573,5062,2319,2743
202106,4614,2135,2479,4955,2255,2700
202107,6145,2861,3284,6570,2940,3630
202108,6926,3170,3756,7552,3457,4095
202109,6878,3203,3675,7946,3602,4344
202110,5201,2306,2895,6057,2723,3334
202111,5405,2466,2939,6225,2859,3366
202112,5614,2511,3103,6490,2959,3531
202201,5968,2788,3180,7056,3262,3794
202202,4752,2190,2562,5780,2637,3143
202203,7701,3579,4122,10173,4965,5208
202204,6142,2883,3259,8678,4107,4571
202205,5853,2710,3143,5968,2816,3152
202206,5719,2628,3091,5250,2476,2774
202207,6919,3227,3692,6058,2846,3212
202208,6997,3288,3709,6094,2826,3268
