ym,inTotal,inMale,inFemale,outTotal,outMale,outFemale
201801,1322,603,719,1688,778,910
201802,1009,478,531,1274,576,698
201803,1783,818,965,2247,1021,1226
201804,1615,759,856,1858,846,1012
201805,1819,829,990,2152,970,1182
201806,1460,672,788,1625,734,891
201807,1527,700,827,1658,730,928
201808,1412,654,758,1731,804,927
201809,1070,471,599,1264,572,692
201810,992,418,574,1107,483,624
201811,1030,440,590,1297,559,738
201812,1404,621,783,1837,817,1020
201901,1449,649,800,1739,763,976
201902,1154,518,636,1300,591,709
201903,1361,608,753,1646,714,932
201904,1437,662,775,1593,718,875
201905,1612,735,877,1774,813,961
201906,1208,537,671,1391,618,773
201907,1686,787,899,1704,773,931
201908,1737,781,956,1616,750,866
201909,1425,655,770,1607,705,902
201910,1150,517,633,1174,501,673
201911,1036,457,579,1122,471,651
201912,1038,468,570,1043,432,611
202001,1344,597,747,1207,535,672
202002,1430,636,794,1431,643,788
202003,1381,616,765,1505,687,818
202004,1378,643,735,1389,625,764
202005,1395,663,732,1461,651,810
202006,1203,550,653,1271,554,717
202007,1457,657,800,1561,696,865
202008,1530,704,826,1492,672,820
202009,1511,708,803,1560,722,838
202010,990,416,574,1081,467,614
202011,1205,540,665,1318,592,726
202012,1305,602,703,1507,667,840
202101,1231,584,647,1378,582,796
202102,1222,590,632,1182,536,646
202103,1486,677,809,1692,749,943
202104,1439,691,748,1484,672,812
202105,1206,531,675,1314,585,729
202106,1027,482,545,1140,519,621
202107,1473,694,779,1522,674,848
202108,1684,782,902,1906,853,1053
202109,1559,726,833,1895,828,1067
202110,1187,556,631,1378,639,739
202111,1273,593,680,1407,624,783
202112,1347,598,749,1544,648,896
202201,1550,764,786,1674,769,905
202202,1262,591,671,1397,656,741
202203,1917,920,997,2458,1242,1216
202204,1776,863,913,2308,1171,1137
202205,1636,781,855,1667,727,940
202206,1582,715,867,1323,543,780
202207,1827,828,999,1506,654,852
202208,1813,875,938,1455,654,801
